Food Within 5km of downtown Indianapolis(with repeats removed),,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Name,Address,Rating,Website,Open Hour,Cuisine Type
El Amigo Taqueria Food Truck,"3356 W 16th St, Indianapolis, IN 46222, USA",4.3,N/A,"['Monday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u200912:00\u202fAM']",N/A
3 Marias Mex Food Truck,"3205 E Washington St, Indianapolis, IN 46201, USA",N/A,N/A,"['Monday: 6:00\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u2009–\u200910:00\u202fPM', 'Friday: Closed', 'Saturday: 6:00\u2009–\u200910:00\u202fPM', 'Sunday: Closed']",N/A
Tha Corn Man,"2442 Central Ave, Indianapolis, IN 46205, USA",3.8,https://tha-corn-man.ueniweb.com/?utm_campaign=gmb,"['Monday: 3:00\u2009–\u20099:00\u202fPM', 'Tuesday: 3:00\u2009–\u20099:00\u202fPM', 'Wednesday: 3:00\u2009–\u20099:00\u202fPM', 'Thursday: 3:00\u2009–\u20099:00\u202fPM', 'Friday: 3:00\u2009–\u20099:00\u202fPM', 'Saturday: 3:00\u2009–\u20099:00\u202fPM', 'Sunday: 3:00\u2009–\u20099:00\u202fPM']",N/A
FELIX TACOS TRUCK,"3145 W Washington St, Indianapolis, IN 46222, USA",4.5,N/A,"['Monday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 5:00\u202fPM\u2009–\u200912:00\u202fAM']",N/A
Tortas Guicho Food Truck,"S. East St and, Fletcher Ave, Indianapolis, IN 46204, USA",4.5,N/A,"['Monday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",N/A
Taqueria Mi Costa,"1430 W Washington St, Indianapolis, IN 46222, USA",4.3,https://taqueria-mi-costa.business.site/,"['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u200911:00\u202fPM']",N/A
Dogs to Go by Uncle Zo,"3376 W 10th St and, N Tibbs Ave, Indianapolis, IN 46222, USA",4.3,https://www.facebook.com/pages/category/Hot-Dog-Joint/Dogs-to-go-by-uncle-zo-891773400966722/,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",N/A
The Grub House,"1953 N College Ave, Indianapolis, IN 46202, USA",4.1,http://grubhouseindy.com/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",N/A
Pi Indy,"1125 E Brookside Ave, Indianapolis, IN 46202, USA",5,http://eatbetterpizza.com/,N/A,N/A
Everythang & Potatoes,"2442 Central Ave, Indianapolis, IN 46205, USA",5,N/A,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 7:00\u2009–\u200911:00\u202fPM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",N/A
Tacos y tortas arroyo,"2120 W Morris St, Indianapolis, IN 46221, USA",5,http://ordertacosytortasarroyo.com/,"['Monday: Closed', 'Tuesday: 6:00\u2009–\u200911:40\u202fPM', 'Wednesday: 6:00\u2009–\u200911:40\u202fPM', 'Thursday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 6:00\u2009–\u200911:00\u202fPM']",N/A
T Street Eatz,"City Market, 222 E Market St, Indianapolis, IN 46204, USA",4.7,http://www.tstreeteatzindy.com/,"['Monday: 11:30\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']",N/A
Brazilian street food,"906 Carrollton Ave, Indianapolis, IN 46202, USA",4.2,N/A,N/A,N/A
The Night Owl Food Truck,"South and, S Meridian St, Indianapolis, IN 46225, USA",5,http://mercersnightowl.com/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 8:30\u202fPM\u2009–\u20092:30\u202fAM', 'Friday: 8:30\u202fPM\u2009–\u20093:30\u202fAM', 'Saturday: 8:30\u202fPM\u2009–\u20093:30\u202fAM', 'Sunday: 6:00\u202fPM\u2009–\u20091:00\u202fAM']",N/A
Stars Sandwich Market,"443 N Pennsylvania St, Indianapolis, IN 46204, USA",4.2,N/A,N/A,N/A
Tha Corn Man,"2442 Central Ave, Indianapolis, IN 46205, USA",3.8,https://tha-corn-man.ueniweb.com/?utm_campaign=gmb,"['Monday: 3:00\u2009–\u20099:00\u202fPM', 'Tuesday: 3:00\u2009–\u20099:00\u202fPM', 'Wednesday: 3:00\u2009–\u20099:00\u202fPM', 'Thursday: 3:00\u2009–\u20099:00\u202fPM', 'Friday: 3:00\u2009–\u20099:00\u202fPM', 'Saturday: 3:00\u2009–\u20099:00\u202fPM', 'Sunday: 3:00\u2009–\u20099:00\u202fPM']",N/A
ClusterTruck,"729 N Pennsylvania St, Indianapolis, IN 46204, USA",4.8,https://downtown-indy.clustertruck.com/menu?utm_source=google%20my%20business&utm_medium=search%20listing,"['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:00\u202fPM']",N/A
Che Chori,"3124 W 16th St, Indianapolis, IN 46222, USA",4.8,http://www.chechori.com/,"['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20094:00\u202fPM']",N/A
Kuma's Corner,"1127 Prospect St, Indianapolis, IN 46203, USA",4.7,http://www.kumascorner.com/,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20098:00\u202fPM']",N/A
Subito,"34 N Delaware St, Indianapolis, IN 46204, USA",4.9,http://www.subitosoups.com/,"['Monday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",N/A
Small Batch Soups by Soupremacy,"7 E Market St, Indianapolis, IN 46204, USA",4.1,http://www.small-batchsoups.com/,"['Monday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']",N/A
Circle City Soul Food,"1164 W 30th St, Indianapolis, IN 46208, USA",4.5,http://www.circlecitysoulfood.com/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 12:00\u2009–\u20095:00\u202fPM']",N/A
Taqueria Mi Costa,"1430 W Washington St, Indianapolis, IN 46222, USA",4.3,https://taqueria-mi-costa.business.site/,"['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u200911:00\u202fPM']",N/A
Don Juan V's Peruvian Sandwiches,"3720 E Raymond St, Indianapolis, IN 46203, USA",4.8,http://www.donjuanvssandwiches.com/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20095:00\u202fPM']",N/A
Taqueria El Taco Loco,"2705 W Washington St, Indianapolis, IN 46222, USA",4.4,http://www.facebook.com/El-Volkan-Mexican-Restaurant-346354408845765/,"['Monday: 5:00\u2009–\u200910:55\u202fPM', 'Tuesday: 5:00\u2009–\u200910:55\u202fPM', 'Wednesday: 5:00\u2009–\u200910:55\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200910:55\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:50\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:50\u202fPM', 'Sunday: 5:00\u2009–\u200910:55\u202fPM']",N/A
La Parada,"1642 E New York St A, Indianapolis, IN 46201, USA",4.4,https://www.laparadaindy.com/,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']",N/A
Circle City Eats,"1021 N Pennsylvania St, Indianapolis, IN 46204, USA",4.4,https://www.circlecityeats.com/,"['Monday: 11:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'Friday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u20092:00\u202fAM']",N/A
Ali'i Poke - Downtown Indy,"910 W 10th St #4, Indianapolis, IN 46202, USA",4.8,http://www.aliipoke.com/,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM']",N/A
Indy All Night,"1324 S East St, Indianapolis, IN 46225, USA",4.3,http://indyallnightdelivery.com/,"['Monday: 9:00\u202fPM\u2009–\u20094:00\u202fAM', 'Tuesday: 9:00\u202fPM\u2009–\u20094:00\u202fAM', 'Wednesday: 9:00\u202fPM\u2009–\u20094:00\u202fAM', 'Thursday: 9:00\u202fPM\u2009–\u20094:00\u202fAM', 'Friday: 9:00\u202fPM\u2009–\u20094:00\u202fAM', 'Saturday: 9:00\u202fPM\u2009–\u20094:00\u202fAM', 'Sunday: 9:00\u202fPM\u2009–\u20094:00\u202fAM']",N/A
Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, USA",4.7,https://www.express.gauchosfire.com/,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:00\u202fPM']",N/A
